Имя: Валентин Белов Борисович, Дата Рождения: 1996-05-30, Место рождения Ставрополь, Номер паспорта: 4203049
Имя: Йоган Сысоев Максимович, Дата Рождения: 1988-09-26, Место рождения Хабаровск, Номер паспорта: 9311044
Имя: Эдуард Гришин Виталиевич, Дата Рождения: 1982-12-22, Место рождения Урай, Номер паспорта: 2402014
Имя: Прохор Горбачёв Петрович, Дата Рождения: 1996-11-13, Место рождения Чапаевск, Номер паспорта: 3607053
Имя: Шерлок Симоненко Юхимович, Дата Рождения: 1984-02-21, Место рождения Усинск, Номер паспорта: 1204011
Имя: Леонид Яковенко Брониславович, Дата Рождения: 1998-09-21, Место рождения Пермь, Номер паспорта: 1204011
Имя: Михаил Карпов Владимирович, Дата Рождения: 1989-08-25, Место рождения Москва, Номер паспорта: 8505054
Имя: Зуфар Легойда Петрович, Дата Рождения: 1987-10-03, Место рождения Чапаевск, Номер паспорта: 8505054
Имя: Харитон Андреев Сергеевич, Дата Рождения: 1988-08-26, Место рождения Аркалык, Номер паспорта: 0703035
Имя: Цефас Хижняк Фёдорович, Дата Рождения: 1997-06-04, Место рождения Хабаровск, Номер паспорта: 3607053
Имя: Глеб Рымар Юхимович, Дата Рождения: 1984-10-29, Место рождения Уни, Номер паспорта: 4408066
Имя: Устин Трублаевский Романович, Дата Рождения: 1996-05-30, Место рождения Майкоп, Номер паспорта: 2811056
